Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Age at enrollment__is_outlier,Curricular units 1st sem (evaluations)__is_outlier,Curricular units 2nd sem (evaluations)__is_outlier,Delta_Grade,Grade_Improvement,Grade_Decline,CR_Sem1,CR_Sem2,Delta_CR,Completion_Collapse,Fail_Crossing,Borderline_Collapse,EvalPressure_Sem1,EvalPressure_Sem2,Delta_EvalPressure,GhostRate_Sem1,GhostRate_Sem2,Delta_GhostRate,Ghost_Worsening,Academic_Stress,Academic_Stress_Level,Home_Support_Risk,Subject_Specific,Subject_Risk_Flag,Subject_Difficulty_Score
4,39,1,9130,1,1,133.1,1,3,1,5,5,110.0,1,0,0,1,0,1,30,0,0,6,7,0,0.0,0,0,6,16,1,10.0,0,11.1,0.6,2.02,Dropout,0,0,0,10.0,1,0,0.0,0.16666666666666666,0.16666666666666666,0,0,0,1.1666666666666667,2.6666666666666665,1.4999999999999998,0.0,0.0,0.0,0,0.3242102552288567,Low,0.3015198828452695,Language,1,0.5
1,17,1,9238,1,1,125.0,1,4,3,1,1,119.8,0,0,0,1,0,0,18,0,0,6,9,5,11.571428571428571,0,0,6,8,6,12.142857142857142,0,16.2,0.3,0.0,Graduate,0,0,0,0.5714285714285712,1,0,0.8333333333333334,1.0,0.16666666666666663,0,0,0,1.5,1.3333333333333333,-0.16666666666666674,0.0,0.0,0.0,0,,,,No_Feedback,0,
1,17,1,9853,1,1,133.0,1,38,38,9,9,127.4,0,0,1,1,0,1,18,0,0,7,7,7,12.714285714285714,0,0,7,7,7,12.285714285714286,0,16.2,0.3,0.0,Graduate,0,0,0,-0.42857142857142705,0,1,1.0,1.0,0.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0,,,,No_Feedback,0,
1,17,2,9670,1,1,110.0,1,1,1,4,10,115.3,1,0,0,1,1,0,19,0,0,6,8,6,13.857142857142858,0,0,6,8,5,13.0,0,15.5,2.8,0.0,Graduate,0,0,0,-0.8571428571428577,0,1,1.0,0.8333333333333334,-0.16666666666666663,0,0,0,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,0,0.10484479825543236,Low,0.0003347433243603001,Language,1,0.5
1,39,1,9500,1,1,130.0,1,37,19,9,8,106.2,1,0,0,1,0,0,27,0,0,7,14,0,0.0,0,0,7,14,0,0.0,0,11.1,0.6,2.02,Dropout,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,2.0,2.0,0.0,0.0,0.0,0.0,0,0.5496199187363316,Medium,0.1921367709283887,Language,1,0.5
1,39,1,8014,0,15,170.0,1,34,1,90,2,101.0,0,0,0,1,0,0,32,0,0,6,9,4,12.0,0,0,6,12,4,11.5,0,7.6,2.6,0.32,Graduate,0,0,0,-0.5,0,1,0.6666666666666666,0.6666666666666666,0.0,0,0,0,1.5,2.0,0.5,0.0,0.0,0.0,0,0.13813499540990076,Low,0.33141721910212063,Language,1,0.5
1,1,1,9773,1,1,143.0,1,3,3,2,5,144.8,0,0,0,1,0,0,19,0,0,6,6,6,12.166666666666666,0,0,6,6,6,12.5,0,16.2,0.3,0.0,Enrolled,0,0,0,0.3333333333333339,1,0,1.0,1.0,0.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.05114995753618615,Low,0.0,None,0,0.0
1,51,1,9119,1,1,136.0,1,1,19,3,5,133.6,1,0,0,1,1,0,20,0,4,9,12,9,13.454545454545457,0,2,7,9,6,13.875,0,11.1,0.6,2.02,Dropout,0,0,0,0.4204545454545432,1,0,1.0,0.8571428571428571,-0.1428571428571429,0,0,0,1.3333333333333333,1.2857142857142858,-0.04761904761904745,0.0,0.0,0.0,0,,,,No_Feedback,0,
1,17,5,9500,1,1,147.0,1,19,1,4,3,138.5,1,0,0,1,0,0,19,0,0,8,8,8,14.34125,0,0,8,8,8,14.34125,0,9.4,0.0,0.0,Graduate,0,0,0,0.0,0,0,1.0,1.0,0.0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.08155010224442627,Low,0.19659088692201948,None,0,0.0
1,1,1,9500,1,1,118.0,1,19,19,5,7,117.8,0,0,0,1,0,1,19,0,0,7,7,7,13.7,0,0,8,9,7,14.671428571428574,0,12.4,0.5,1.79,Graduate,0,0,0,0.9714285714285751,1,0,1.0,0.875,-0.125,0,0,0,1.0,1.125,0.125,0.0,0.0,0.0,0,,,,No_Feedback,0,
