Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
4,39,1,9130,1,1,133.1,1,3,1,5,5,110.0,1,0,0,1,0,1,30,0,0,6,7,0,0.0,0,0,6,16,1,10.0,0,11.1,0.6,2.02,Dropout
1,17,1,9238,1,1,125.0,1,4,3,1,1,119.8,0,0,0,1,0,0,18,0,0,6,9,5,11.571428571428571,0,0,6,8,6,12.142857142857142,0,16.2,0.3,-0.92,Graduate
1,17,1,9853,1,1,133.0,1,38,38,9,9,127.4,0,0,1,1,0,1,18,0,0,7,7,7,12.714285714285714,0,0,7,7,7,12.285714285714286,0,16.2,0.3,-0.92,Graduate
1,17,2,9670,1,1,110.0,1,1,1,4,10,115.3,1,0,0,1,1,0,19,0,0,6,8,6,13.857142857142858,0,0,6,8,5,13.0,0,15.5,2.8,-4.06,Graduate
1,39,1,9500,1,1,130.0,1,37,19,9,8,106.2,1,0,0,1,0,0,27,0,0,7,14,0,0.0,0,0,7,14,0,0.0,0,11.1,0.6,2.02,Dropout
1,39,1,8014,0,15,170.0,1,34,1,90,2,101.0,0,0,0,1,0,0,32,0,0,6,9,4,12.0,0,0,6,12,4,11.5,0,7.6,2.6,0.32,Graduate
1,1,1,9773,1,1,143.0,1,3,3,2,5,144.8,0,0,0,1,0,0,19,0,0,6,6,6,12.166666666666666,0,0,6,6,6,12.5,0,16.2,0.3,-0.92,Enrolled
1,51,1,9119,1,1,136.0,1,1,19,3,5,133.6,1,0,0,1,1,0,20,0,4,9,12,9,13.454545454545457,0,2,7,9,6,13.875,0,11.1,0.6,2.02,Dropout
1,17,5,9500,1,1,147.0,1,19,1,4,3,138.5,1,0,0,1,0,0,19,0,0,8,8,8,14.34125,0,0,8,8,8,14.34125,0,9.4,-0.8,-3.12,Graduate
1,1,1,9500,1,1,118.0,1,19,19,5,7,117.8,0,0,0,1,0,1,19,0,0,7,7,7,13.7,0,0,8,9,7,14.671428571428574,0,12.4,0.5,1.79,Graduate
